City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,bujaru,-1.515,-48.0447,21.93,100,45,1.01,BR,1723100422
123,tiksi,71.6872,128.8694,7.67,93,100,1.92,RU,1723100423
124,nadi,-17.8,177.4167,25.0,57,40,2.06,FJ,1723100424
125,labytnangi,66.6572,66.4183,16.23,51,10,0.66,RU,1723100425
126,la passe,45.5549,-0.8967,18.34,67,7,3.02,FR,1723100426
127,san antonio de pale,-1.4014,5.6325,22.81,76,100,3.76,GQ,1723100427
128,bollnas,61.3482,16.3946,18.36,89,100,2.25,SE,1723100429
129,beauvais,49.4167,2.0,18.14,79,0,1.54,FR,1723100430
130,howrah,22.5892,88.3103,30.0,84,75,4.12,IN,1723100310
131,balkashino,52.5167,68.7667,21.71,70,100,3.97,KZ,1723100432
132,punta arenas,-53.15,-70.9167,2.06,80,100,3.6,CL,1723100224
133,sittwe,20.15,92.9,26.83,83,100,3.69,MM,1723100434
134,tsiombe,-25.3,45.4833,25.01,53,0,3.64,MG,1723100435
135,wailua homesteads,22.0669,-159.378,23.75,91,40,5.15,US,1723100436
136,antalaha,-14.9003,50.2788,24.61,58,100,4.32,MG,1723100437
137,chokwe,-24.5333,32.9833,23.06,67,2,5.11,MZ,1723100438
138,dhidhdhoo,6.8833,73.1,28.19,75,52,6.17,MV,1723100439
139,afaahiti,-17.75,-149.2833,25.93,85,39,6.67,PF,1723100441
140,watford city,47.8022,-103.2832,9.69,93,100,0.0,US,1723100442
141,dingcheng,32.1272,115.0394,36.73,48,100,4.11,CN,1723100443
142,pandan,14.0453,124.1694,30.81,72,83,5.04,PH,1723100444
143,pisco,-13.7,-76.2167,16.03,82,100,3.6,PE,1723100445
144,papao,-17.75,-149.55,26.82,80,57,6.3,PF,1723100446
145,new norfolk,-42.7826,147.0587,14.95,61,100,3.59,AU,1723100447
146,notodden,59.5594,9.2585,15.84,80,100,1.63,NO,1723100448
147,morondava,-20.2833,44.2833,24.37,52,0,2.64,MG,1723100449
148,sandnessjoen,66.0217,12.6316,19.29,73,59,7.77,NO,1723100450
149,olyokminsk,60.3736,120.4264,28.14,29,25,1.44,RU,1723100451
150,kiboga,0.9161,31.7742,26.82,42,4,0.68,UG,1723100452
151,ibshaway,29.358,30.6814,32.14,34,0,4.4,EG,1723100454
152,westport,41.1415,-73.3579,19.02,92,100,4.12,US,1723100157
153,new plymouth,-39.0667,174.0833,10.45,100,10,3.55,NZ,1723100456
154,stornoway,58.2093,-6.3865,11.98,93,20,2.57,GB,1723100457
155,serang,-6.1149,106.1502,30.64,63,98,2.53,ID,1723100458
156,dryden,49.7833,-92.7503,14.16,82,100,4.12,CA,1723100459
157,hawaiian paradise park,19.5933,-154.9731,23.82,87,51,0.45,US,1723100460
158,fort bragg,35.139,-79.006,24.91,95,100,8.23,US,1723100461
159,dalbandin,28.8947,64.4101,36.96,29,47,2.73,PK,1723100462
160,nola,40.922,14.5329,29.66,68,57,1.11,IT,1723100463
161,broome,42.2506,-75.833,18.17,86,96,0.89,US,1723100464
162,mogadishu,2.0371,45.3438,26.93,74,75,7.2,SO,1723100465
163,norman gardens,-23.3224,150.5393,22.29,61,100,4.63,AU,1723100466
164,vila velha,-20.3297,-40.2925,21.64,85,0,4.47,BR,1723100153
165,zaozersk,69.4005,32.4476,18.92,47,56,3.68,RU,1723100469
166,holbrook,40.8123,-73.0784,19.26,92,100,1.34,US,1723100470
167,astrakhan,46.3497,48.0408,27.93,47,0,3.0,RU,1723100471
168,kerikeri,-35.2268,173.9474,12.73,92,83,0.45,NZ,1723100472
169,broken hill,-31.95,141.4333,16.1,40,100,6.17,AU,1723100473
170,muisne,0.6,-80.0333,23.82,88,100,3.91,EC,1723100474
171,viqueque,-8.8673,126.3658,27.04,64,31,4.09,TL,1723100475
172,portland,45.5234,-122.6762,23.08,68,6,0.45,US,1723100167
173,fort stockton,30.894,-102.8793,30.42,26,0,5.14,US,1723100477
174,gadzhiyevo,69.2551,33.3362,18.14,49,46,3.23,RU,1723100479
175,riberalta,-10.9833,-66.1,24.32,65,0,1.0,BO,1723100481
176,port hueneme,34.1478,-119.1951,21.64,90,100,2.57,US,1723100482
177,neiafu,-18.65,-173.9833,22.38,64,20,3.6,TO,1723100483
178,cidreira,-30.1811,-50.2056,14.62,94,100,2.39,BR,1723100484
179,ore,6.7457,4.8775,24.06,90,72,1.04,NG,1723100485
180,saint-francois,46.4154,3.9054,19.26,83,0,0.0,FR,1723100486
181,an nabk,34.0255,36.7284,29.25,23,0,2.32,SY,1723100487
182,sisimiut,66.9395,-53.6735,4.91,91,30,4.79,GL,1723100488
183,general pinedo,-27.3167,-61.2833,10.46,28,100,5.21,AR,1723100489
184,dunedin,-45.8742,170.5036,7.67,83,28,2.24,NZ,1723100475
185,al mishkhab,31.8042,44.4911,41.06,13,0,6.52,IQ,1723100492
186,margaret river,-33.95,115.0667,15.87,64,98,6.46,AU,1723100493
187,asifabad,19.3667,79.2833,26.31,84,100,4.56,IN,1723100494
188,port macquarie,-31.4333,152.9167,17.26,66,0,1.34,AU,1723100496
189,ponta delgada,37.7333,-25.6667,22.4,88,20,2.57,PT,1723100404
190,bethel,41.3712,-73.414,18.11,89,67,0.45,US,1723100488
191,thunder bay,48.4001,-89.3168,16.99,100,100,1.54,CA,1723100458
192,omutninsk,58.67,52.1932,14.28,92,100,2.5,RU,1723100501
193,juneau,58.3019,-134.4197,17.0,72,0,0.0,US,1723100238
194,narasannapeta,18.4167,84.05,32.81,58,70,2.51,IN,1723100503
195,karratha,-20.7377,116.8463,27.77,26,39,1.96,AU,1723100504
196,brokopondo,4.75,-55.1667,25.19,84,0,2.34,SR,1723100505
197,alice springs,-23.7,133.8833,26.75,22,1,4.12,AU,1723100506
198,ciudad bolivar,8.1222,-63.5497,24.16,94,4,2.6,VE,1723100507
199,qaqortoq,60.7167,-46.0333,7.16,93,100,1.33,GL,1723100509
200,sola,-13.8833,167.55,27.37,57,75,6.17,VU,1723100510
201,tongliao,43.6125,122.2653,31.78,35,3,4.83,CN,1723100511
202,hammerfest,70.6634,23.6821,20.25,52,0,5.66,NO,1723100512
203,borba,-4.3878,-59.5939,22.13,58,93,0.78,BR,1723100513
204,nefteyugansk,61.0998,72.6035,13.78,58,100,5.31,RU,1723100514
205,brazzaville,-4.2658,15.2832,22.2,78,75,2.06,CG,1723100515
206,alghero,40.5589,8.3181,26.05,73,0,1.03,IT,1723100516
207,tadine,-21.55,167.8833,19.93,73,100,5.1,NC,1723100518
